var2021,var2022,label,names,disp
SubmissionDate,,Submission Date,,
start,,start,,
end,,ending,,
deviceid,,Device ID,,
imei,,iMei,,
today,,Today,,
intronote,,"__________ terms of terms of __ contactlation
You are on the collection form",,
note1,,001 Individual questionnaire Child 6-23 months,,
note1b,,Section 1: identification of the household,,
q100,,Is there a replacement health area?,,
q101,q101,Name of the stratum (from the province),province,
q103,q103,Health area name,zone,
q105,q105,Name of the cluster (of the health area),area,
q106,q106,Avenue/Rue/Village identifier number*,village,
q107,,Avenue name/Rue/Village/N °,,
q108,q108,Household location environment,rural,
q110,,Name of the investigator,,
q112,,Land supervisor name,,
q113,q113,Household identifier number,hh_id,
q114,,Name of the head of the family / cleaning,,
consentec,,,,
consent,,Can we start now?,,
q117,,Start date of the interview during the visit,,
q118,,Start time of the interview during the visit,,
q127,,Name of the answer,,
note2b,,SECTION 2: CHARACTERISTICS OF THE MILLAGE,,
qa201,,QA201 Sex of the household chief,,
qa202,,QA202 What is the current civil status of the head of household?,,
generated_table_list_label_35,,"QA203 In what day, month and year is the household chief (he) born?",,
qa203_jour,,DAY,,
qa203_mois,,MONTH :,,
qa203_annee,,YEAR :,,
cal_age2,,Cal_age2,,
qa204,,QA204 How old is the household chief currently?,,
note_ag2,,"The entered age does not correspond to the year of birth. She should be, ve",,
qa205,qa205,QA205 What is the highest level of study reached by the head of the household?,hh_edu,
qa206,,QA206 What is the profession of the head of household?,,
qa206_autre,,QA206 Others (to be specified),,
qa207,,"Qa207 Currently, what is the religion of the head of household?",,
qa207_autre,,Qa207 other (to be specified),,
qa208,qa208,QA208 What is the ethnicity of the head of household?,hh_ethnicity,
noteqa209,,Qa209 is there in this household:,,
qa209_label,,,,
qa209a,,A television,,
qa209b,,A radio,,
qa209c,,A refrigerator / freezer,,
noteqa210,,QA210. Does a member of your household have:,,
qa210_label,,,,
qa210a,,A wristwatch,,
qa210b,,A bicycle,,
qa210c,,A motorcycle,,
qa210d,,"A car, a truck or a van",,
qa210e,,animal cart,,
qa210f,,Boat / whale,,
qa210g,,canoe,,
qa210h,,Pirogue with engine,,
qa211,,Qa211 is a member of this household has a computer?,,
qa212,,Qa212 is a member of this household has a mobile phone?,,
qa213,,QA213 Do you have access to the internet at home,,
qa214,,Qa214 is you or someone else living in this household,,
qa214_autre,,Qa214 other (specify),,
qa215,,Qa215 is a member of this household has a bank account?,,
qa216,,Qa216 are you covered by health insurance?,,
qa217,,QA217 By what types of health insurance are you covered?,,
qa217_1,,QA217 By what types of health insurance are you covered?: MUTU organization,,
qa217_2,,QA217 By what types of health insurance are you covered?: Health insurance of,,
qa217_3,,QA217 By what types of health insurance are you covered?: Social security?,,
